Time [hr],Well,PCAred fluorescence (AU),Strain,Medium,Condition,Condition Conc. (µM),OD600
7.478,A2,8013,calibration,basal medium,PCA,400,0.077
7.561,A2,8006,calibration,basal medium,PCA,400,0.077
7.644,A2,7971,calibration,basal medium,PCA,400,0.078
7.728,A2,8031,calibration,basal medium,PCA,400,0.077
7.811,A2,8015,calibration,basal medium,PCA,400,0.077
7.894,A2,8020,calibration,basal medium,PCA,400,0.077
7.978,A2,7967,calibration,basal medium,PCA,400,0.077
8.061,A2,8023,calibration,basal medium,PCA,400,0.077
8.144,A2,8015,calibration,basal medium,PCA,400,0.077
8.228,A2,8057,calibration,basal medium,PCA,400,0.078
8.311,A2,8004,calibration,basal medium,PCA,400,0.077
8.394,A2,7999,calibration,basal medium,PCA,400,0.077
8.478,A2,8011,calibration,basal medium,PCA,400,0.077
8.561,A2,8032,calibration,basal medium,PCA,400,0.077
8.644,A2,7998,calibration,basal medium,PCA,400,0.076
8.728,A2,8036,calibration,basal medium,PCA,400,0.076
8.811,A2,8042,calibration,basal medium,PCA,400,0.077
8.894,A2,8052,calibration,basal medium,PCA,400,0.077
8.978,A2,8023,calibration,basal medium,PCA,400,0.077
9.061,A2,8031,calibration,basal medium,PCA,400,0.077
9.144,A2,8022,calibration,basal medium,PCA,400,0.077
9.228,A2,8010,calibration,basal medium,PCA,400,0.077
9.311,A2,8046,calibration,basal medium,PCA,400,0.077
9.394,A2,8041,calibration,basal medium,PCA,400,0.077
9.478,A2,8041,calibration,basal medium,PCA,400,0.077
9.561,A2,8039,calibration,basal medium,PCA,400,0.076
9.644,A2,8050,calibration,basal medium,PCA,400,0.077
9.728,A2,8015,calibration,basal medium,PCA,400,0.077
9.811,A2,8066,calibration,basal medium,PCA,400,0.077
9.894,A2,8030,calibration,basal medium,PCA,400,0.077
9.978,A2,8048,calibration,basal medium,PCA,400,0.077
10.061,A2,8064,calibration,basal medium,PCA,400,0.076
10.144,A2,8049,calibration,basal medium,PCA,400,0.077
10.228,A2,8042,calibration,basal medium,PCA,400,0.076
10.311,A2,8019,calibration,basal medium,PCA,400,0.076
10.394,A2,8019,calibration,basal medium,PCA,400,0.076
10.478,A2,8020,calibration,basal medium,PCA,400,0.076
10.561,A2,8028,calibration,basal medium,PCA,400,0.076
10.644,A2,8024,calibration,basal medium,PCA,400,0.077
10.728,A2,8024,calibration,basal medium,PCA,400,0.076
10.811,A2,8020,calibration,basal medium,PCA,400,0.076
10.894,A2,8035,calibration,basal medium,PCA,400,0.077
10.978,A2,8050,calibration,basal medium,PCA,400,0.077
11.061,A2,8021,calibration,basal medium,PCA,400,0.076
11.144,A2,8020,calibration,basal medium,PCA,400,0.077
11.228,A2,8038,calibration,basal medium,PCA,400,0.076
11.311,A2,8003,calibration,basal medium,PCA,400,0.076
11.394,A2,8030,calibration,basal medium,PCA,400,0.077
11.478,A2,8012,calibration,basal medium,PCA,400,0.077
11.561,A2,8032,calibration,basal medium,PCA,400,0.077
11.644,A2,8036,calibration,basal medium,PCA,400,0.076
11.728,A2,8057,calibration,basal medium,PCA,400,0.077
11.811,A2,8061,calibration,basal medium,PCA,400,0.077
11.894,A2,8035,calibration,basal medium,PCA,400,0.076
11.978,A2,8024,calibration,basal medium,PCA,400,0.077
12.061,A2,8046,calibration,basal medium,PCA,400,0.076
12.144,A2,8044,calibration,basal medium,PCA,400,0.076
12.228,A2,8024,calibration,basal medium,PCA,400,0.076
12.311,A2,8046,calibration,basal medium,PCA,400,0.076
12.394,A2,8029,calibration,basal medium,PCA,400,0.076
12.478,A2,8038,calibration,basal medium,PCA,400,0.076
12.561,A2,8057,calibration,basal medium,PCA,400,0.076
12.644,A2,8066,calibration,basal medium,PCA,400,0.077
12.728,A2,8029,calibration,basal medium,PCA,400,0.076
12.811,A2,8061,calibration,basal medium,PCA,400,0.076
12.894,A2,8094,calibration,basal medium,PCA,400,0.076
12.978,A2,8088,calibration,basal medium,PCA,400,0.077
13.061,A2,8070,calibration,basal medium,PCA,400,0.076
13.144,A2,8043,calibration,basal medium,PCA,400,0.076
13.228,A2,8035,calibration,basal medium,PCA,400,0.077
13.311,A2,8030,calibration,basal medium,PCA,400,0.076
13.394,A2,8055,calibration,basal medium,PCA,400,0.077
13.478,A2,8067,calibration,basal medium,PCA,400,0.076
13.561,A2,8038,calibration,basal medium,PCA,400,0.077
13.644,A2,8032,calibration,basal medium,PCA,400,0.076
13.728,A2,8063,calibration,basal medium,PCA,400,0.077
13.811,A2,8040,calibration,basal medium,PCA,400,0.076
13.894,A2,8041,calibration,basal medium,PCA,400,0.076
13.978,A2,8022,calibration,basal medium,PCA,400,0.077
14.061,A2,8056,calibration,basal medium,PCA,400,0.077
14.144,A2,8033,calibration,basal medium,PCA,400,0.077
14.228,A2,8037,calibration,basal medium,PCA,400,0.076
14.311,A2,8083,calibration,basal medium,PCA,400,0.076
14.394,A2,8045,calibration,basal medium,PCA,400,0.076
14.478,A2,8054,calibration,basal medium,PCA,400,0.076
14.561,A2,8043,calibration,basal medium,PCA,400,0.077
14.644,A2,8086,calibration,basal medium,PCA,400,0.076
14.728,A2,8023,calibration,basal medium,PCA,400,0.077
14.811,A2,8060,calibration,basal medium,PCA,400,0.076
14.894,A2,8059,calibration,basal medium,PCA,400,0.076
14.978,A2,8047,calibration,basal medium,PCA,400,0.077
15.061,A2,8043,calibration,basal medium,PCA,400,0.076
15.144,A2,8060,calibration,basal medium,PCA,400,0.077
15.228,A2,8055,calibration,basal medium,PCA,400,0.076
15.311,A2,8027,calibration,basal medium,PCA,400,0.076
15.394,A2,8064,calibration,basal medium,PCA,400,0.076
15.478,A2,8094,calibration,basal medium,PCA,400,0.076
15.561,A2,8029,calibration,basal medium,PCA,400,0.076
15.644,A2,8034,calibration,basal medium,PCA,400,0.077
